연번,판매소명,주소,지정일자,latitude,longitude
1,인광슈퍼,미추홀구 숭의1동403-21(인중로26번길22-2),1994-12-20,37.46381656,126.6400402
2,광해슈퍼,"미추홀구 미추로 61, 101호(숭의동,광해리드빌상가)",1996-10-09,37.46547052,126.6453355
3,시설관리공단,미추홀구 숭의1동129-34,2003-02-04,37.46543583,126.6479584
4,현대슈퍼,미추홀구 숭의1동 148-12(경인로 33번길 14),2013-10-29,37.46454007,126.6467269
5,현대홈마트,"미추홀구 독정이로 115, 101호(숭의동, 현대상가)",2016-04-29,37.4655849,126.6494884
6,지에스25 숭의로터점,"미추홀구 석정로 13, 1층 101호(숭의동)",2016-06-14,37.46130376,126.6417637
7,사거리 슈퍼마켓,미추홀구 미추로 43 (숭의동),2018-01-31,37.4638145,126.646219
8,하나로공판장마트,"미추홀구 인주대로11번길 32, 1층 (숭의동)",2018-03-21,37.46179416,126.6405111
9,세븐일레븐인천숭의공구점,미추홀구 인중로 16,2018-05-02,37.46301958,126.6409153
10,플러스마트,"미추홀구 경인로41번길 29, 1층,지하층(숭의동)",2018-06-14,37.46539913,126.6467392
11,이마트24 숭의공구,인중로16번길 16(숭의동)이마트24 숭의공구상가점,2019-05-21,37.46334124,126.6414783
12,씨유 숭의 솔루나,제물량로24번길51,2020-04-17,37.46199976,126.6397397
13,씨스페이스 숭의스타,"인천광역시 미추홀구 인중로 25(숭의동, 썬에이스빌",2022-06-14,37.4628972,126.6397807
14,씨유 도원서희점,"인천광역시 미추홀구 참외전로 268(숭의동, 스타디움",2022-06-22,37.46764233,126.6430116
15,(주)코리아세븐 인천스타디움,"인천광역시 미추홀구 참외전로 268(숭의동, 스타디움",2022-08-09,37.46764233,126.6430116
16,알짜마트,인천광역시 미추홀구 경인로 51(숭의동) 1층,2023-03-17,37.46471589,126.6486106
17,씨유 숭의저스트점,인천광역시 미추홀구 석정로 21(숭의동) 107호(숭의동,2023-03-23,37.46174044,126.6420491
